"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Brunei Darussalam","BRN","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0159200001507998","0.0184199996292591","0.0370099991559982","","","","","","","","","","","","",
"Bhutan","BTN","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.532859981060028","","","","","","","0.252290010452271","","","","",
"Central African Republic","CAF","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.61619997024536","1.62373995780945","1.71746003627777","1.76043999195099","1.87184000015259","2.03846001625061","1.99296998977661","1.9850800037384","2.01360011100769","1.98644995689392","1.95564997196198","1.91787004470825","1.86826002597809","1.92270994186401","1.8376100063324","1.79851996898651","1.78606998920441","1.68827998638153","1.61152994632721","","",
"Central Europe and the Baltics","CEB","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.738032817250266","0.754980457556701","0.735762341800382","0.740903697120205","0.746398955217103","0.750867426598336","0.740478017750744","0.730494855001182","0.736014388114143","0.737445147448678","0.753425805716322","0.759537452148294","0.787775901282799","0.834140522165789","0.876070718322108","0.960252468494071","1.06042126427232","1.06419308177661","1.09542625576088","","",
"Switzerland","CHE","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.4520800113678","","","","2.32682991027832","","","","2.67691993713379","","","","2.72857999801636","","","","2.96661996841431","","","","",
"Channel Islands","CHI","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.310499995946884","0.374989986419678","0.35291001200676","0.330989986658096","0.35343000292778","0.364789992570877","0.391099989414215","0.379280000925064","","",
"China","CHN","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.565129995346069","0.641019999980927","0.649259984493256","0.752759993076324","0.897669970989227","0.945389986038208","1.06411004066467","1.12740004062653","1.22350001335144","1.31792998313904","1.37973999977112","1.38432002067566","1.45729994773865","1.67870998382568","1.72720003128052","1.7943799495697","1.92809998989105","2.0146598815918","2.04604005813599","","",
