,name,full_name,year,pryntry,try,total,try_public,try_private,pisa_read,pisa_math,pisa_science,rd_exp,researchers_rd_permillionpeople,high_tech_exports,patent_res_per100people,patent_nres_per100people,gdp_percapita_dividedby1000,gini_index
27,LTU,Lithuania,2013,2.7,1.7,4.4,1.28,0.42,,,,0.95,976.15,10.33,0.04,0.01,15.69,35.15
28,LUX,Luxembourg,2013,2.9,0.5,3.4,0.47,0.03,481,486,483,1.3,8455.81,6.58,0.21,0.1,113.73,34.79
29,LVA,Latvia,2013,3.1,1.4,4.5,0.95,0.45,488,482,490,0.61,895.25,13.01,0.11,0.0,15.03,35.48
30,MEX,Mexico,2013,3.9,1.3,5.2,0.88,0.42,423,408,416,0.5,,15.92,0.01,0.12,10.2,48.21
31,NLD,Netherlands,2013,3.8,1.7,5.5,1.2,0.5,503,512,509,1.96,271.43,20.41,0.14,0.03,51.57,27.99
32,NOR,Norway,2013,4.7,1.6,6.3,1.54,0.06,513,502,498,1.65,1096.43,19.14,0.22,0.13,102.91,25.9
33,NZL,New Zealand,2013,4.7,1.8,6.5,0.93,0.87,509,495,513,1.17,902.44,10.25,0.36,1.16,42.93,
34,POL,Poland,2013,3.4,1.4,4.8,1.13,0.27,506,504,501,0.87,48.65,7.81,0.11,0.0,13.78,32.55
35,PRT,Portugal,2013,4.7,1.4,6.1,0.81,0.59,498,492,501,1.33,345.71,4.31,0.06,0.0,21.62,36.04
36,RUS,Russian Federation,2013,2.3,1.4,3.7,0.91,0.49,495,494,487,1.13,21.41,10.01,0.2,0.11,15.55,41.59
37,SVK,Slovak Republic,2013,2.7,1.1,3.8,0.83,0.27,453,475,461,0.83,502.01,10.31,0.03,0.0,18.19,26.12
38,SVN,Slovenia,2013,3.7,1.2,4.9,1.05,0.15,505,510,513,2.6,2047.05,6.22,,,23.15,25.59
39,SWE,Sweden,2013,3.7,1.7,5.4,1.52,0.18,500,494,493,3.31,694.77,14.06,0.24,0.02,60.28,27.32
40,TUR,Turkey,2013,3.3,1.7,5.0,1.48,0.33,428,420,425,0.94,15.33,1.88,0.06,0.0,10.8,40.18
41,USA,United States,2013,3.5,2.6,6.1,0.94,1.66,497,470,496,2.73,12.79,17.82,0.91,0.9,52.75,41.06
